,1a,1b,1c,1d,1e,1f,1g,1h,2a,2b,2c,2d,2e,2f,2g,2h,3a,3b,3c,3d,3e,3f,3g,3h,4a,4b,4c,4d,4e,4f,4g,4h,5a,5b,5c,5d,5e,5f,5g,5h,6a,6b,6c,6d,6e,6f,6g,6h,7a,7b,7c,7d,7e,7f,7g,7h,8a,8b,8c,8d,8e,8f,8g,8h,val
2400,r,n,0,q,k,b,n,r,0,0,p,0,p,0,0,p,p,p,0,p,0,0,0,0,0,0,0,N,0,N,p,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,0,0,P,P,P,R,0,B,Q,K,B,0,R,517.0
2401,r,n,0,q,k,b,n,r,0,0,0,0,p,0,0,p,p,p,p,p,0,0,0,0,0,0,0,N,0,N,p,Q,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,0,0,P,P,P,R,0,B,0,K,B,0,R,520.5
2402,r,n,0,q,0,b,n,r,0,0,0,k,p,0,0,p,p,p,p,p,0,0,0,0,0,0,0,0,0,N,p,Q,0,N,0,P,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,0,0,P,P,P,R,0,B,0,K,B,0,R,438.0
2403,r,n,0,q,0,0,n,r,0,0,0,k,p,0,N,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,p,Q,0,N,0,P,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,0,0,P,P,P,R,0,B,0,K,B,0,R,731.5
2404,r,n,0,0,Q,0,n,r,0,0,q,k,p,0,N,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,p,0,0,N,0,P,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,0,0,P,P,P,R,0,B,0,K,B,0,R,10712.0
2405,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,27.0
2406,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,124.5
2407,r,n,b,q,k,b,n,r,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,p,p,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,0,R,131.5
2408,r,n,b,q,k,b,0,r,p,p,p,p,p,p,0,0,0,0,0,0,0,n,0,0,0,0,0,0,N,0,p,p,0,0,0,0,P,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,Q,K,B,0,R,134.5
2409,r,n,b,q,k,b,0,r,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,p,p,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,Q,K,B,0,R,330.5
