,1a,1b,1c,1d,1e,1f,1g,1h,2a,2b,2c,2d,2e,2f,2g,2h,3a,3b,3c,3d,3e,3f,3g,3h,4a,4b,4c,4d,4e,4f,4g,4h,5a,5b,5c,5d,5e,5f,5g,5h,6a,6b,6c,6d,6e,6f,6g,6h,7a,7b,7c,7d,7e,7f,7g,7h,8a,8b,8c,8d,8e,8f,8g,8h,val
0,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,27.0
1,r,n,b,q,k,b,n,r,p,p,0,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,p,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,126.0
2,r,0,b,q,k,b,n,r,p,p,0,p,p,p,p,p,n,0,0,0,0,0,0,0,0,0,p,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,0,R,128.0
3,r,0,b,q,k,b,n,r,p,p,0,p,p,0,p,p,n,0,0,0,0,0,0,0,0,0,p,0,N,p,0,0,0,0,0,0,P,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,Q,K,B,0,R,133.0
4,r,0,b,q,k,b,n,r,p,p,0,p,p,0,p,p,n,0,0,0,0,0,0,0,0,0,p,0,N,0,0,Q,0,0,0,0,p,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,0,K,B,0,R,228.0
5,r,0,b,q,k,b,n,r,p,p,0,p,p,0,0,p,n,0,0,0,0,0,N,0,0,0,p,0,0,0,0,Q,0,0,0,0,p,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,0,K,B,0,R,601.5
6,r,0,b,q,k,b,n,N,p,p,0,p,0,0,0,p,n,0,0,0,p,0,0,0,0,0,p,0,0,0,0,Q,0,0,0,0,p,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,0,K,B,0,R,820.5
7,r,0,b,q,0,b,n,N,p,p,0,p,k,0,0,Q,n,0,0,0,p,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,p,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,0,K,B,0,R,924.5
8,r,0,b,q,0,b,n,N,p,p,0,p,0,0,0,0,n,0,0,0,p,k,0,0,0,0,p,0,0,0,0,0,0,0,0,0,p,0,0,Q,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,0,K,B,0,R,1520.5
9,r,0,b,Q,0,b,n,N,p,p,0,p,0,0,0,0,n,0,0,0,p,0,0,0,0,0,p,0,k,0,0,0,0,0,0,0,p,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,0,K,B,0,R,1824.0
